TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,PreviousTransactionDate,is_weekend,TransactionType,Location,Channel,CustomerOccupation,Target
335.63,55.0,215.99999999999997,1.0,1019.39,2023-01-24 17:17:20,2024-11-04 08:07:32,WeekDays,Debit,Oklahoma City,Online,Retired,1
328.47,63.0,119.0,1.0,4323.66,2023-07-31 18:39:50,2024-11-04 08:07:31,WeekDays,Debit,San Antonio,ATM,Retired,1
34.02,38.0,18.999999999999996,1.0,14214.48,2023-01-09 16:13:21,2024-11-04 08:11:45,WeekDays,Debit,Philadelphia,Online,Doctor,0
241.42000000000002,57.0,116.00000000000001,1.0,13357.02,2023-04-20 18:57:43,2024-11-04 08:09:03,WeekDays,Credit,Charlotte,Online,Doctor,1
55.32,19.0,117.0,1.0,241.79000000000002,2023-04-12 16:03:37,2024-11-04 08:08:03,WeekDays,Debit,Tucson,ATM,Student,1
304.31,27.0,33.0,1.0,868.61,2023-07-26 16:52:28,2024-11-04 08:09:53,WeekDays,Debit,Louisville,Branch,Student,0
435.27,74.0,90.0,1.0,4673.28,2023-10-04 17:49:29,2024-11-04 08:11:12,WeekDays,Debit,Chicago,Branch,Retired,1
164.49,26.0,75.0,1.0,1509.27,2023-12-13 16:01:38,2024-11-04 08:10:33,WeekDays,Debit,Baltimore,Branch,Student,0
510.23999999999995,19.0,105.0,1.0,781.7,2023-10-09 16:29:40,2024-11-04 08:11:35,WeekDays,Debit,Oklahoma City,Online,Student,1
626.9,26.0,138.0,1.0,265.51,2023-11-27 16:45:57,2024-11-04 08:07:24,WeekDays,Debit,Denver,Online,Student,0
22.01,41.0,175.0,1.0,1335.09,2023-03-27 16:45:18,2024-11-04 08:06:31,WeekDays,Credit,Sacramento,Online,Engineer,0
425.34,69.0,121.0,1.0,3907.5399999999995,2023-02-13 16:59:39,2024-11-04 08:07:07,WeekDays,Credit,Kansas City,Online,Retired,1
85.43,67.0,145.0,1.0,14904.9,2023-06-07 16:45:34,2024-11-04 08:06:45,WeekDays,Debit,Virginia Beach,Branch,Doctor,1
169.5,28.0,142.0,1.0,918.8799999999999,2023-09-07 16:51:27,2024-11-04 08:08:58,WeekDays,Debit,San Diego,Branch,Student,0
104.63,62.0,90.0,1.0,4477.78,2023-03-29 17:47:16,2024-11-04 08:10:42,WeekDays,Debit,Omaha,ATM,Retired,1
316.95,25.0,83.0,1.0,1324.03,2023-08-04 17:53:40,2024-11-04 08:09:15,WeekEnds,Debit,Mesa,Branch,Student,0
60.540000000000006,57.0,52.00000000000001,1.0,3534.93,2023-12-14 17:52:37,2024-11-04 08:09:57,WeekDays,Credit,Columbus,Branch,Retired,1
292.56,68.0,61.00000000000001,1.0,4638.37,2023-03-03 17:37:41,2024-11-04 08:07:49,WeekEnds,Credit,Dallas,Branch,Retired,1
386.52,48.0,28.0,1.0,5630.61,2023-06-09 16:18:15,2024-11-04 08:07:09,WeekEnds,Debit,Indianapolis,Branch,Engineer,0
112.07,23.0,51.00000000000001,1.0,930.3,2023-10-02 16:35:22,2024-11-04 08:11:37,WeekDays,Debit,Kansas City,Branch,Student,0
263.99,79.0,227.0,1.122664500406174,4175.02,2023-05-16 16:07:30,2024-11-04 08:11:03,WeekDays,Debit,Dallas,Branch,Retired,1
349.64,48.0,226.0,1.0,6651.62,2023-11-07 16:48:23,2024-11-04 08:08:09,WeekDays,Debit,Las Vegas,Online,Engineer,0
601.4,56.0,104.0,1.0,8458.29,2023-05-30 17:43:25,2024-11-04 08:08:01,WeekDays,Credit,Philadelphia,Branch,Engineer,1
5.77,50.0,123.99999999999999,1.0,13988.12,2023-11-02 16:01:40,2024-11-04 08:11:32,WeekDays,Debit,Charlotte,Online,Doctor,1
201.33,42.0,186.0,1.0,2585.07,2023-03-29 17:00:31,2024-11-04 08:11:41,WeekDays,Credit,Nashville,Branch,Engineer,0
298.42,56.0,225.0,1.0,3014.75,2023-04-25 16:11:24,2024-11-04 08:10:12,WeekDays,Debit,Indianapolis,Branch,Retired,1
521.06,25.0,128.0,1.0,1951.42,2023-04-18 18:40:47,2024-11-04 08:12:10,WeekDays,Debit,Albuquerque,Branch,Student,0
117.28,60.0,16.0,1.0,3665.77,2023-02-09 16:34:53,2024-11-04 08:07:11,WeekDays,Credit,Austin,Online,Engineer,1
189.12,32.0,103.0,1.0,977.01,2023-11-13 16:42:28,2024-11-04 08:08:42,WeekDays,Credit,Indianapolis,ATM,Engineer,0
133.55,44.0,220.0,1.0,3846.2800000000007,2023-07-18 16:12:00,2024-11-04 08:10:18,WeekDays,Debit,Atlanta,ATM,Engineer,0
143.21,35.0,135.0,1.0,6374.82,2023-01-13 17:00:16,2024-11-04 08:09:26,WeekEnds,Debit,Dallas,Online,Engineer,0
24.77,62.0,55.0,1.0,5866.01,2023-07-04 18:20:33,2024-11-04 08:12:15,WeekDays,Debit,Boston,ATM,Retired,1
233.92,26.0,280.0,1.0,6537.62,2023-10-20 16:54:28,2024-11-04 08:08:45,WeekEnds,Credit,Jacksonville,Online,Student,0
211.36,20.0,24.0,1.0,605.9499999999999,2023-10-04 16:36:29,2024-11-04 08:06:51,WeekDays,Debit,Indianapolis,Branch,Student,0
232.12,37.0,51.00000000000001,1.0,6689.87,2023-12-28 17:31:03,2024-11-04 08:09:17,WeekDays,Debit,Albuquerque,ATM,Engineer,0
211.36,22.0,113.0,1.0,634.17,2023-06-12 17:53:52,2024-11-04 08:08:22,WeekDays,Debit,Kansas City,Online,Student,0
91.53,44.0,69.00000000000001,1.0,14676.05,2023-03-13 16:32:12,2024-11-04 08:11:36,WeekDays,Debit,Milwaukee,Branch,Doctor,0
120.29,19.0,77.0,1.0,1362.39,2023-12-18 18:46:27,2024-11-04 08:06:50,WeekDays,Debit,Miami,Branch,Student,1
174.25,50.0,67.0,1.0,10528.34,2023-07-17 18:54:31,2024-11-04 08:10:29,WeekDays,Debit,Seattle,Online,Doctor,1
183.71,38.0,102.0,1.0,552.52,2023-06-19 18:22:10,2024-11-04 08:09:51,WeekDays,Debit,Denver,ATM,Engineer,0
211.36,63.0,87.0,1.0,4715.84,2023-01-23 16:32:48,2024-11-04 08:11:07,WeekDays,Debit,Detroit,ATM,Retired,1
259.91,49.0,170.0,1.0,7176.86,2023-11-06 16:34:10,2024-11-04 08:09:38,WeekDays,Debit,Denver,Online,Doctor,0
154.71,34.0,157.0,1.0,1523.72,2023-07-03 16:40:24,2024-11-04 08:09:42,WeekDays,Debit,San Diego,Online,Doctor,0
211.36,54.0,30.0,1.0,8654.28,2023-09-29 17:22:10,2024-11-04 08:06:53,WeekEnds,Credit,Austin,Online,Engineer,1
24.56,64.0,69.00000000000001,1.0,9869.93,2023-10-20 17:27:35,2024-11-04 08:12:05,WeekEnds,Debit,Mesa,Branch,Doctor,1
568.07,48.0,115.0,1.0,10556.81,2023-08-28 17:03:53,2024-11-04 08:07:32,WeekDays,Credit,Washington,ATM,Doctor,0
9.61,58.0,179.0,1.0,12883.91,2023-06-22 18:37:29,2024-11-04 08:09:10,WeekDays,Credit,San Diego,Online,Doctor,1
392.96,24.0,100.00000000000001,1.0,791.65,2023-11-20 16:28:09,2024-11-04 08:08:38,WeekDays,Debit,Kansas City,Online,Student,0
716.93,60.0,34.0,1.0,4064.02,2023-09-14 16:49:33,2024-11-04 08:08:12,WeekDays,Credit,Milwaukee,Online,Retired,1
223.85,53.0,55.0,1.122664500406174,2929.91,2023-10-02 16:36:10,2024-11-04 08:08:01,WeekDays,Debit,Kansas City,ATM,Engineer,1
230.66,21.0,135.0,1.0,618.05,2023-03-27 18:16:04,2024-11-04 08:10:44,WeekDays,Debit,Houston,Branch,Student,0
442.12,19.0,260.0,1.0,1375.8,2023-12-21 16:37:03,2024-11-04 08:08:21,WeekDays,Debit,Los Angeles,Online,Student,1
644.17,29.0,72.0,1.0,1143.52,2023-03-02 16:05:09,2024-11-04 08:08:04,WeekDays,Debit,San Antonio,ATM,Engineer,0
508.67999999999995,51.0,127.0,1.0,7708.41,2023-06-26 16:16:50,2024-11-04 08:09:32,WeekDays,Credit,Mesa,Branch,Engineer,1
858.63,27.0,185.0,1.0,1872.96,2023-04-18 17:27:23,2024-11-04 08:10:47,WeekDays,Credit,San Francisco,Branch,Student,0
25.36,57.0,78.0,1.0,201.04,2023-07-17 17:08:24,2024-11-04 08:11:05,WeekDays,Debit,Louisville,ATM,Engineer,1
147.62,71.0,133.0,1.0,2115.8,2023-09-01 17:26:02,2024-11-04 08:07:22,WeekEnds,Debit,Charlotte,Branch,Retired,1
115.02,37.0,175.0,1.0,7643.66,2023-09-11 16:19:04,2024-11-04 08:08:38,WeekDays,Debit,San Antonio,Branch,Doctor,0
383.37,30.0,24.0,1.0,8901.93,2023-01-24 17:23:56,2024-11-04 08:11:07,WeekDays,Debit,Fort Worth,Branch,Engineer,0
98.54,20.0,167.0,1.0,9383.43,2023-08-11 16:18:46,2024-11-04 08:10:02,WeekEnds,Credit,El Paso,Online,Student,0
83.24,55.0,164.0,1.0,1181.31,2023-10-16 18:35:11,2024-11-04 08:10:52,WeekDays,Credit,Fort Worth,Branch,Doctor,1
196.16,27.0,146.0,1.0,9418.86,2023-02-24 16:29:23,2024-11-04 08:08:32,WeekEnds,Debit,Virginia Beach,Branch,Engineer,0
129.94,32.0,235.0,1.0,7954.919999999999,2023-01-02 16:36:02,2024-11-04 08:06:35,WeekDays,Debit,Las Vegas,ATM,Engineer,0
306.9,46.0,51.00000000000001,1.0,9418.08,2023-11-30 16:31:03,2024-11-04 08:10:48,WeekDays,Debit,Colorado Springs,Online,Engineer,0
114.98,59.0,80.0,1.0,6144.68,2023-11-01 16:52:01,2024-11-04 08:09:24,WeekDays,Debit,Seattle,Online,Retired,1
756.59,27.0,17.0,1.0,420.65,2023-03-06 16:47:02,2024-11-04 08:11:40,WeekDays,Debit,Sacramento,Branch,Student,0
503.76000000000005,22.0,35.0,1.0,447.82,2023-11-27 18:32:49,2024-11-04 08:09:22,WeekDays,Debit,Los Angeles,Online,Student,0
143.03,63.0,147.0,1.0,7981.450000000001,2023-07-31 16:37:46,2024-11-04 08:10:42,WeekDays,Debit,San Antonio,ATM,Retired,1
211.36,53.0,73.0,1.0,1829.9,2023-11-22 16:13:39,2024-11-04 08:07:35,WeekDays,Debit,Columbus,ATM,Retired,1
245.54,25.0,180.0,1.0,985.0600000000001,2023-03-21 16:29:31,2024-11-04 08:10:26,WeekDays,Credit,New York,ATM,Student,0
254.37000000000003,51.0,174.0,1.0,8849.26,2023-04-20 18:26:50,2024-11-04 08:06:56,WeekDays,Credit,Dallas,Online,Engineer,1
213.76,78.0,282.0,1.0,3528.72,2023-03-01 17:52:14,2024-11-04 08:09:36,WeekDays,Credit,Dallas,ATM,Retired,1
327.86,40.0,104.0,1.0,480.16,2023-02-10 16:52:48,2024-11-04 08:06:30,WeekEnds,Debit,Fresno,Online,Engineer,0
2.5,47.0,107.0,1.0,12145.27,2023-07-21 16:43:11,2024-11-04 08:09:53,WeekEnds,Debit,San Diego,Online,Doctor,0
300.08,68.0,47.0,1.0,13546.75,2023-10-09 17:02:43,2024-11-04 08:12:18,WeekDays,Credit,Austin,Online,Doctor,1
56.98,43.0,122.0,1.122664500406174,5688.37,2024-01-01 16:34:10,2024-11-04 08:07:42,WeekDays,Credit,Oklahoma City,ATM,Engineer,0
115.83,39.0,167.0,1.0,6481.04,2023-05-22 17:09:52,2024-11-04 08:10:02,WeekDays,Debit,Fresno,Branch,Engineer,0
53.57,69.0,121.0,1.0,1651.33,2023-08-16 16:17:12,2024-11-04 08:08:43,WeekDays,Debit,Houston,ATM,Retired,1
63.34,46.0,165.0,1.0,11174.94,2023-11-17 16:02:02,2024-11-04 08:10:13,WeekEnds,Credit,Detroit,Online,Doctor,0
331.65,41.0,61.00000000000001,1.0,4172.57,2023-08-25 17:26:07,2024-11-04 08:11:00,WeekEnds,Debit,Portland,Online,Engineer,0
5.04,56.0,41.0,1.0,5558.36,2023-11-27 16:38:34,2024-11-04 08:10:48,WeekDays,Debit,Washington,ATM,Retired,1
214.54,70.0,247.0,1.0,11151.53,2023-08-04 17:46:44,2024-11-04 08:11:56,WeekEnds,Credit,Detroit,Online,Doctor,1
598.81,57.0,158.0,1.0,1415.52,2023-09-04 16:48:35,2024-11-04 08:10:13,WeekDays,Debit,Philadelphia,Branch,Doctor,1
841.28,26.0,80.0,1.0,1103.64,2023-08-09 17:34:26,2024-11-04 08:09:58,WeekDays,Debit,Tucson,Online,Student,0
38.15,26.0,107.99999999999999,1.0,303.68,2023-09-07 16:07:40,2024-11-04 08:07:42,WeekDays,Debit,Mesa,Online,Student,0
211.36,58.0,144.0,1.0,5541.57,2023-07-11 16:39:53,2024-11-04 08:09:24,WeekDays,Debit,San Antonio,Branch,Doctor,1
124.72,33.0,105.0,1.0,6309.8,2023-07-03 17:14:07,2024-11-04 08:07:25,WeekDays,Debit,Oklahoma City,Branch,Engineer,0
302.45,78.0,40.0,1.0,5133.61,2023-09-25 17:13:36,2024-11-04 08:11:55,WeekDays,Credit,San Antonio,Branch,Retired,1
208.04,47.0,273.0,1.0,9344.98,2023-11-20 17:10:02,2024-11-04 08:08:45,WeekDays,Debit,Louisville,Online,Engineer,0
5.77,23.0,254.0,1.0,1117.97,2023-11-17 17:27:07,2024-11-04 08:10:53,WeekEnds,Credit,Los Angeles,Branch,Student,0
381.33,56.0,75.0,1.0,11835.35,2023-08-21 16:46:05,2024-11-04 08:09:32,WeekDays,Debit,Albuquerque,ATM,Doctor,1
16.16,50.0,123.99999999999999,1.0,14401.17,2023-10-16 16:59:36,2024-11-04 08:11:59,WeekDays,Debit,Milwaukee,ATM,Doctor,1
486.0799999999999,18.0,68.00000000000001,1.0,1748.69,2023-06-20 17:21:50,2024-11-04 08:07:03,WeekDays,Debit,Oklahoma City,Online,Student,1
336.39,21.0,18.0,1.0,1000.46,2023-01-16 16:53:38,2024-11-04 08:09:57,WeekDays,Debit,San Antonio,Branch,Student,0
211.36,69.0,118.0,1.0,6810.05,2023-11-22 16:07:19,2024-11-04 08:08:25,WeekDays,Debit,Seattle,Online,Doctor,1
234.57,23.0,120.0,1.0,263.98,2023-09-01 16:09:08,2024-11-04 08:08:47,WeekEnds,Debit,Chicago,Online,Student,0
6.0,30.0,246.0,1.0,5442.76,2023-10-23 18:38:15,2024-11-04 08:09:43,WeekDays,Debit,Chicago,Online,Doctor,0
211.36,80.0,21.000000000000004,1.0,2037.85,2023-10-23 16:50:33,2024-11-04 08:10:34,WeekDays,Debit,Detroit,ATM,Retired,1
227.14,18.0,294.0,1.0,341.94,2023-07-03 17:42:08,2024-11-04 08:11:34,WeekDays,Debit,Charlotte,ATM,Student,1
233.74,66.0,17.0,1.0,1066.59,2023-10-24 16:41:00,2024-11-04 08:11:17,WeekDays,Credit,Oklahoma City,Online,Retired,1
211.36,69.0,166.0,1.0,6077.96,2023-09-25 16:54:22,2024-11-04 08:07:21,WeekDays,Credit,Jacksonville,Branch,Retired,1
45.85,20.0,91.99999999999999,1.0,1659.15,2023-02-16 17:57:10,2024-11-04 08:07:24,WeekDays,Debit,Los Angeles,ATM,Student,0
211.36,77.0,296.0,1.0,2042.22,2023-08-30 17:23:20,2024-11-04 08:11:44,WeekDays,Debit,Sacramento,Branch,Retired,1
211.36,41.0,142.0,1.122664500406174,421.93,2023-04-13 18:37:48,2024-11-04 08:10:01,WeekDays,Debit,New York,Online,Doctor,0
415.5,66.0,141.0,1.0,10113.66,2023-07-28 16:29:23,2024-11-04 08:10:23,WeekEnds,Debit,Memphis,ATM,Doctor,1
265.76,54.0,91.99999999999999,1.0,4446.17,2023-02-06 17:48:55,2024-11-04 08:12:18,WeekDays,Debit,Philadelphia,Online,Retired,1
69.4,80.0,113.0,1.0,6452.77,2023-07-24 18:08:43,2024-11-04 08:09:04,WeekDays,Debit,Virginia Beach,Online,Retired,1
332.93,35.0,293.0,1.0,2788.2,2023-11-20 16:29:48,2024-11-04 08:08:14,WeekDays,Credit,Albuquerque,Branch,Engineer,0
267.9,20.0,160.0,1.0,596.1599999999999,2023-10-09 16:52:47,2024-11-04 08:08:34,WeekDays,Debit,San Antonio,Online,Student,0
496.0299999999999,61.0,265.0,1.0,12904.66,2023-11-03 16:45:52,2024-11-04 08:09:41,WeekEnds,Debit,San Francisco,Branch,Doctor,1
376.26,37.0,245.0,1.0,9062.4,2023-02-15 16:41:11,2024-11-04 08:09:58,WeekDays,Debit,Tucson,ATM,Engineer,0
83.02,36.0,171.0,1.0,9009.56,2023-09-04 17:59:51,2024-11-04 08:11:01,WeekDays,Credit,Seattle,Online,Engineer,0
93.26,20.0,72.0,1.0,1152.2,2023-07-27 16:22:52,2024-11-04 08:12:04,WeekDays,Credit,New York,Online,Student,0
803.37,68.0,129.0,1.0,12168.37,2023-04-17 16:08:34,2024-11-04 08:08:40,WeekDays,Credit,Memphis,Branch,Doctor,1
35.76,23.0,122.0,1.0,611.8599999999999,2023-09-19 17:38:18,2024-11-04 08:11:40,WeekDays,Debit,Charlotte,Branch,Student,0
28.53,62.0,99.0,1.0,8670.53,2023-05-31 16:37:39,2024-11-04 08:06:30,WeekDays,Debit,Washington,Online,Doctor,1
139.53,53.0,177.0,1.0,10098.86,2023-10-09 17:20:09,2024-11-04 08:07:31,WeekDays,Credit,Louisville,Online,Doctor,1
307.57,33.0,285.0,1.0,5307.74,2023-01-09 16:12:01,2024-11-04 08:06:33,WeekDays,Debit,Detroit,Branch,Doctor,0
60.650000000000006,56.0,53.00000000000001,1.0,1047.28,2023-05-26 18:15:08,2024-11-04 08:09:22,WeekEnds,Credit,Tucson,Branch,Retired,1
74.86,70.0,125.0,1.0,6921.48,2023-08-14 17:43:17,2024-11-04 08:07:39,WeekDays,Debit,Nashville,Branch,Doctor,1
211.36,51.0,137.0,1.0,1475.46,2023-11-24 18:51:32,2024-11-04 08:09:21,WeekEnds,Debit,Kansas City,Branch,Retired,1
231.91,34.0,165.0,1.0,112.76,2023-01-31 18:31:22,2024-11-04 08:12:15,WeekDays,Debit,Memphis,ATM,Engineer,0
126.20999999999998,75.0,268.0,1.0,5669.66,2023-02-14 16:07:01,2024-11-04 08:08:42,WeekDays,Debit,Baltimore,Branch,Retired,1
506.28,53.0,162.0,1.122664500406174,1309.95,2023-05-02 17:03:29,2024-11-04 08:09:09,WeekDays,Credit,Chicago,Online,Retired,1
304.35,31.0,36.0,1.0,4057.1,2023-12-04 17:07:34,2024-11-04 08:08:45,WeekDays,Debit,Houston,Branch,Engineer,0
281.85,22.0,109.0,1.0,1585.98,2023-05-16 17:26:37,2024-11-04 08:07:38,WeekDays,Debit,Detroit,ATM,Student,0
777.88,31.0,17.0,1.0,6825.55,2023-03-20 16:58:12,2024-11-04 08:09:15,WeekDays,Debit,Houston,Branch,Engineer,0
119.18,56.0,96.0,1.0,5516.5,2023-08-25 18:01:38,2024-11-04 08:07:34,WeekEnds,Debit,Los Angeles,Branch,Retired,1
177.19,76.0,43.0,1.0,5343.3,2023-05-15 17:25:28,2024-11-04 08:06:30,WeekDays,Debit,Chicago,Online,Retired,1
260.88,22.0,36.0,1.0,903.05,2023-05-29 16:50:10,2024-11-04 08:06:52,WeekDays,Debit,Denver,Branch,Student,0
169.47,24.0,18.999999999999996,1.0,1806.16,2023-03-22 16:10:14,2024-11-04 08:07:37,WeekDays,Debit,Chicago,Online,Student,0
73.23,26.0,14.0,1.0,787.7399999999999,2023-05-19 16:52:53,2024-11-04 08:11:12,WeekEnds,Debit,Portland,Branch,Student,0
211.36,29.0,106.0,1.0,2429.68,2023-02-10 18:07:07,2024-11-04 08:11:05,WeekEnds,Debit,El Paso,ATM,Engineer,0
792.57,19.0,164.0,1.0,770.37,2023-05-22 16:22:36,2024-11-04 08:10:39,WeekDays,Debit,Baltimore,ATM,Student,1
237.06,71.0,45.99999999999999,1.0,1182.77,2023-12-18 16:47:17,2024-11-04 08:07:50,WeekDays,Debit,Phoenix,Online,Retired,1
34.17,54.0,53.99999999999999,1.0,726.55,2023-11-21 16:57:43,2024-11-04 08:06:29,WeekDays,Credit,Philadelphia,Online,Engineer,1
740.25,41.0,123.0,1.0,14464.3,2023-07-19 17:03:58,2024-11-04 08:08:27,WeekDays,Debit,Philadelphia,Online,Doctor,0
453.54,58.0,82.0,1.0,12046.3,2023-04-19 16:36:03,2024-11-04 08:12:06,WeekDays,Debit,Albuquerque,ATM,Doctor,1
300.47,73.0,100.00000000000001,1.0,7885.64,2023-11-13 16:11:52,2024-11-04 08:08:00,WeekDays,Debit,Jacksonville,Branch,Retired,1
110.93,19.0,201.0,1.0,1952.3499999999997,2023-04-07 16:38:15,2024-11-04 08:10:53,WeekEnds,Credit,Virginia Beach,Branch,Student,1
201.69,59.0,299.0,1.0,7328.52,2023-01-03 16:46:36,2024-11-04 08:10:16,WeekDays,Debit,Las Vegas,ATM,Doctor,1
399.21,59.0,109.0,1.0,3210.39,2023-01-30 16:15:49,2024-11-04 08:08:21,WeekDays,Debit,Portland,ATM,Engineer,1
211.36,78.0,57.0,1.0,5726.2,2023-09-06 16:44:02,2024-11-04 08:06:44,WeekDays,Debit,Jacksonville,Online,Retired,1
630.36,62.0,52.00000000000001,1.0,1363.65,2023-03-02 16:11:53,2024-11-04 08:12:15,WeekDays,Debit,Mesa,ATM,Retired,1
10.94,60.0,245.0,1.0,1241.99,2023-10-23 17:24:07,2024-11-04 08:11:53,WeekDays,Credit,Philadelphia,ATM,Engineer,1
215.9,38.0,235.0,1.0,7873.280000000001,2023-01-04 16:02:09,2024-11-04 08:10:23,WeekDays,Debit,Los Angeles,ATM,Doctor,0
211.36,79.0,165.0,1.0,5674.32,2023-07-10 17:49:18,2024-11-04 08:06:50,WeekDays,Debit,Washington,Branch,Retired,1
226.37,49.0,141.0,1.0,9840.04,2023-09-18 17:07:08,2024-11-04 08:09:56,WeekDays,Credit,Louisville,Branch,Doctor,0
